     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     52404,         6,         0,    1.01,chromobius,d4c9182f7abf431d80e0e903a18f1fb84f308e729b38e7de4c62c539d4655008,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.0003,""q"":69,""r"":36}","{""detection_events"":573238}"
     30508,        22,         0,    1.00,chromobius,7b2ca34cce2d44207fb296a521a56fd1b86a9b41ebaae792c37168773cfa473f,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.0005,""q"":69,""r"":36}","{""detection_events"":550900}"
     21233,        52,         0,    1.00,chromobius,a91586645a16bc68fb0d0b39ee797edbfbc0ce6b6670838cd3ee9f760c3aa533,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.0007,""q"":69,""r"":36}","{""detection_events"":534913}"
     14847,        89,         0,    1.02,chromobius,f51768c7fd344fd83aa79dbbcf54d27fe07eef29fae0636154308ee6c2fe54e5,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.001,""q"":69,""r"":36}","{""detection_events"":528001}"
      6866,       283,         0,    1.04,chromobius,4f263dd6a6767124ceec72f251b19490310c7c5b47323bc27efd646023dd06df,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.002,""q"":69,""r"":36}","{""detection_events"":475146}"
      4096,       559,         0,    1.00,chromobius,34130a250f2c440b4cc06c9018a816a247814535522a75a55aa5eaa6358f776f,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.003,""q"":69,""r"":36}","{""detection_events"":412392}"
      2424,       912,         0,    1.11,chromobius,87e78f9c11a029320907b8b8e83a7a66331c661bbd37156ff9bd069fdde19537,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.005,""q"":69,""r"":36}","{""detection_events"":383980}"
      1507,       758,         0,    1.06,chromobius,8c08afb808b6ce0ea14704e7524b1b3176cbac39315e96086563cc5acd1162ea,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.007,""q"":69,""r"":36}","{""detection_events"":314815}"
       974,       492,         0,    1.11,chromobius,f1321fa54edfc3a5e747feb34765a93ba0e505d6c12b5ccd9f253cc2765515d0,"{""c"":""midout_color_code_X"",""d"":9,""noise"":""uniform"",""p"":0.01,""q"":69,""r"":36}","{""detection_events"":268029}"
     81417,         0,         0,    1.00,chromobius,dca5c011ec73000ac7d840843c4fd7c8b9c675e39c78b25db7cfe222584c1925,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.0001,""q"":101,""r"":44}","{""detection_events"":546293}"
     41201,         0,         0,    1.00,chromobius,d325b52547943ceca3c34348b25e840185aefec627c7944e6358d87f2e749ab7,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.0002,""q"":101,""r"":44}","{""detection_events"":551247}"
     27565,         1,         0,    1.00,chromobius,7d09400c6bb8fa0b634a14a670e184167109dc7a8eb8c5a90d0649616646301c,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.0003,""q"":101,""r"":44}","{""detection_events"":552040}"
     16384,         2,         0,    1.01,chromobius,488f1504bafc5660816674fde088d8f1892d3e505fc8eccc5f2c1b40de88c0d0,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.0005,""q"":101,""r"":44}","{""detection_events"":542618}"
     11646,         8,         0,    1.03,chromobius,77ac6ffd84a8f1c9bce95058042d915a3941aa74b8801f15ca89b008756ae4c8,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.0007,""q"":101,""r"":44}","{""detection_events"":536689}"
      8041,        17,         0,    1.04,chromobius,c23de7d8cd984e0e112b317d419d6e2baceabd2000de0776e5c6401569a68606,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.001,""q"":101,""r"":44}","{""detection_events"":524054}"
      3876,       107,         0,    1.15,chromobius,1b75708cc13672ba2c2339c91c0b694fadf79246de0e11d98854f21018fa17ea,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.002,""q"":101,""r"":44}","{""detection_events"":489611}"
      2183,       253,         0,    1.03,chromobius,67d3612fd43bff457b144bc41eb1882c26952c8f1431841d7ef2111cfcb74790,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.003,""q"":101,""r"":44}","{""detection_events"":402267}"
      1158,       444,         0,    1.07,chromobius,2ccbf642837d1cc2d3d4ce839d04956dcd5383ed4e6bf58346cdf3b54f8f08ae,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.005,""q"":101,""r"":44}","{""detection_events"":334337}"
       723,       347,         0,    1.08,chromobius,57fa33ad902a94df5d23c43db5c9bcbf9f27cca55564c43285dbcf22050c9399,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.007,""q"":101,""r"":44}","{""detection_events"":276463}"
       423,       200,         0,    1.11,chromobius,aec3bd99945c893459f8ea319ea52011a63968bcd2462372b6cf1350cacefd5a,"{""c"":""midout_color_code_X"",""d"":11,""noise"":""uniform"",""p"":0.01,""q"":101,""r"":44}","{""detection_events"":211640}"
     45703,         0,         0,    1.00,chromobius,7e7076905d611bccd7056159614ebcb16e43c02dd0983778d812490ed553db8d,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.0001,""q"":139,""r"":52}","{""detection_events"":506613}"
     24248,         0,         0,    1.00,chromobius,ed8b15f298e58f38232ea03b14c569670723218198956c9f78664ad330ce86be,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.0002,""q"":139,""r"":52}","{""detection_events"":538021}"
     16040,         0,         0,    1.03,chromobius,77b3fa04626a61ffa4fa0eeda0785d06e72060887f1e6136447d70224555ec28,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.0003,""q"":139,""r"":52}","{""detection_events"":531954}"
      9384,         0,         0,    1.01,chromobius,4c5090bf1b2717f6de24516c870915e4ac909e3357597ea801ef734868e45619,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.0005,""q"":139,""r"":52}","{""detection_events"":515854}"
      6952,         4,         0,    1.06,chromobius,3ac3ae0f04d3d26c732053a766dc4bcc014e10c349331e776a7a11cd849fb154,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.0007,""q"":139,""r"":52}","{""detection_events"":532178}"
      4463,         6,         0,    1.01,chromobius,00a4a22ecc0c749206ca4856645ab2a3eecb7a4c0b4d75e6cba4795c35147ee1,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.001,""q"":139,""r"":52}","{""detection_events"":483605}"
      2230,        34,         0,    1.08,chromobius,f4dca551fa8bdfa91ee676da958f5a3ce213aa13d413b7906a5019d742ce3bfe,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.002,""q"":139,""r"":52}","{""detection_events"":467900}"
      1339,       107,         0,    1.07,chromobius,334d4ffb5beb53e64f2f8d299d44e92542257e2ceccca749e075fbb5431c5c41,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.003,""q"":139,""r"":52}","{""detection_events"":407047}"
       630,       242,         0,    1.08,chromobius,fcaf7bb2f58166165f924192f490c6e7c00be12df46aaebce1441a83e66b3731,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.005,""q"":139,""r"":52}","{""detection_events"":300093}"
       339,       163,         0,    1.06,chromobius,9b074d6b7055d9df1177430c10484b58da5caac7d29c09bdc297d8dcee7d3c4a,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.007,""q"":139,""r"":52}","{""detection_events"":214861}"
       204,        92,         0,    1.14,chromobius,e529559b29078e13e73fcf8ef392592ca301d2dc82a53dbc22db6e9cc1f9a9be,"{""c"":""midout_color_code_X"",""d"":13,""noise"":""uniform"",""p"":0.01,""q"":139,""r"":52}","{""detection_events"":169541}"
  14717613,        87,         0,    1.00,chromobius,c1ca7568fa9d4a0e505009c369e9dc1e2a0af6bfc7354ac8298c94ceafbbdb3d,"{""c"":""phenom_color_code"",""d"":3,""noise"":""uniform"",""p"":0.0001,""q"":8,""r"":12}","{""detection_events"":494753}"
