     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     18334,      1045,         0,   0.090,chromobius,8e3441d3af8a687a9bc4d9ac2f3312721e5bd3525064f12c302793de03659ac1,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0005,""q"":9,""r"":12}",
     17030,      1917,         0,   0.244,chromobius,470f06088a6b23c02a6f1aa05e6724f110fedc8ae2dc504ec423ee68d18455ef*8e3441d3af8a687a9bc4d9ac2f3312721e5bd3525064f12c302793de03659ac1,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0005,""q"":9,""r"":12}",
     13881,      1031,         0,   0.122,chromobius,cc266790d8c6a20df9e67a8cb9910cba4acf25656dec49cb8b78d2d895f35555,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0007,""q"":9,""r"":12}",
     12897,      1019,         0,   0.077,chromobius,2a30f1af908c5e87c6ef0237ade2876261a506f03fb26f7dade39c0667aa1bc1,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0007,""q"":9,""r"":12}",
     12897,      1901,         0,   0.199,chromobius,2a30f1af908c5e87c6ef0237ade2876261a506f03fb26f7dade39c0667aa1bc1*cc266790d8c6a20df9e67a8cb9910cba4acf25656dec49cb8b78d2d895f35555,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.0007,""q"":9,""r"":12}",
      9591,      1024,         0,   0.105,chromobius,e39a2c03a77d7757d2e9b0f20177e3531231aebc6e90c1930497a93c9bb69899,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12}",
      9371,      1005,         0,   0.107,chromobius,20bfda9a59c8fe51cdc7144a0b58ce299d1292b5641ff0e6652bc738bd23741d,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12}",
      9371,      1898,         0,   0.212,chromobius,20bfda9a59c8fe51cdc7144a0b58ce299d1292b5641ff0e6652bc738bd23741d*e39a2c03a77d7757d2e9b0f20177e3531231aebc6e90c1930497a93c9bb69899,"{""c"":""midout_color_code_XZ"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.001,""q"":9,""r"":12}",
      5271,      1002,         0,   0.119,chromobius,a419b9fb39f6dc05e659db55f78428011e9145e1d8585e76d45be56c4bb386e2,"{""c"":""midout_color_code_X"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.002,""q"":9,""r"":12}",
      5423,      1023,         0,   0.073,chromobius,a262a58fe8efaff52a34706e534dcd43b437267ca6c45ca5a01b8f0486557e8e,"{""c"":""midout_color_code_Z"",""d"":3,""gates"":""all"",""noise"":""uniform"",""p"":0.002,""q"":9,""r"":12}",
